sigla_uf,nome_municipio,codigo_ibge,mais_comum,candidaturas,n_mais_comum
BA,ARAMARI,2902203,PARDA,3,3
BA,ARATACA,2902252,PARDA,3,2
BA,ARATUÍPE,2902302,PRETA,3,2
BA,AURELINO LEAL,2902401,PARDA,2,2
BA,BAIANÓPOLIS,2902500,PARDA,4,4
BA,BAIXA GRANDE,2902609,BRANCA,2,2
BA,BANZAÊ,2902658,PARDA,2,2
BA,BARRA,2902708,VÁRIAS,4,2
BA,BARRA DA ESTIVA,2902807,PARDA,3,2
BA,BARRA DO CHOÇA,2902906,PARDA,4,2
BA,BARRA DO MENDES,2903003,VÁRIAS,2,1
BA,BARRA DO ROCHA,2903102,VÁRIAS,2,1
BA,BARREIRAS,2903201,PARDA,4,3
BA,BARRO ALTO,2903235,VÁRIAS,2,1
BA,BARRO PRETO,2903300,VÁRIAS,2,1
BA,BARROCAS,2903276,VÁRIAS,2,1
BA,BELMONTE,2903409,PARDA,3,3
BA,BELO CAMPO,2903508,PARDA,3,2
BA,BIRITINGA,2903607,PARDA,5,5
BA,BOA NOVA,2903706,BRANCA,4,2
BA,BOA VISTA DO TUPIM,2903805,PARDA,4,3
BA,BOM JESUS DA LAPA,2903904,PARDA,3,3
BA,BOM JESUS DA SERRA,2903953,PARDA,3,3
BA,BONINAL,2904001,BRANCA,3,2
BA,BONITO,2904050,VÁRIAS,2,1
BA,BOQUIRA,2904100,BRANCA,3,2
BA,BOTUPORÃ,2904209,VÁRIAS,2,1
BA,BREJÕES,2904308,BRANCA,5,4
BA,BREJOLÂNDIA,2904407,VÁRIAS,2,1
BA,BROTAS DE MACAÚBAS,2904506,VÁRIAS,4,2
BA,BRUMADO,2904605,BRANCA,4,2
BA,BUERAREMA,2904704,PARDA,2,2
BA,BURITIRAMA,2904753,PARDA,4,4
BA,CAATIBA,2904803,VÁRIAS,2,1
BA,CABACEIRAS DO PARAGUAÇU,2904852,BRANCA,4,3
BA,CACHOEIRA,2904902,VÁRIAS,5,2
BA,CACULÉ,2905008,BRANCA,2,2
BA,CAEM,2905107,BRANCA,2,2
BA,CAETANOS,2905156,BRANCA,3,2
BA,CAETITÉ,2905206,BRANCA,4,3
BA,CAFARNAUM,2905305,VÁRIAS,2,1
BA,CAIRU,2905404,PARDA,4,3
BA,CALDEIRÃO GRANDE,2905503,PARDA,3,2
BA,CAMACAN,2905602,PARDA,3,2
BA,CAMAÇARI,2905701,PARDA,11,7
BA,CAMAMU,2905800,VÁRIAS,2,1
BA,CAMPO ALEGRE DE LOURDES,2905909,PARDA,3,2
BA,CAMPO FORMOSO,2906006,BRANCA,2,2
BA,CANÁPOLIS,2906105,VÁRIAS,3,1
BA,CANARANA,2906204,PARDA,3,2
BA,CANAVIEIRAS,2906303,PARDA,3,2
BA,CANDEAL,2906402,VÁRIAS,3,1
BA,CANDEIAS,2906501,PARDA,8,7
BA,CANDIBA,2906600,BRANCA,3,2
BA,CÂNDIDO SALES,2906709,PARDA,6,6
BA,CANSANÇÃO,2906808,VÁRIAS,4,2
BA,CANUDOS,2906824,PARDA,4,3
BA,CAPELA DO ALTO ALEGRE,2906857,PARDA,2,2
BA,CAPIM GROSSO,2906873,PARDA,3,2
BA,CARAÍBAS,2906899,PARDA,3,3
BA,CARAVELAS,2906907,BRANCA,4,2
BA,CARDEAL DA SILVA,2907004,VÁRIAS,2,1
BA,CARINHANHA,2907103,BRANCA,4,2
BA,CASA NOVA,2907202,VÁRIAS,5,2
BA,CASTRO ALVES,2907301,PRETA,3,2
BA,CATOLÂNDIA,2907400,VÁRIAS,2,1
BA,CATU,2907509,BRANCA,6,4
BA,CATURAMA,2907558,VÁRIAS,2,1
BA,CENTRAL,2907608,PARDA,5,3
BA,CHORROCHÓ,2907707,PARDA,3,3
BA,CÍCERO DANTAS,2907806,PARDA,3,2
BA,CIPÓ,2907905,VÁRIAS,4,2
BA,COARACI,2908002,PARDA,5,3
BA,COCOS,2908101,BRANCA,2,2
BA,CONCEIÇÃO DA FEIRA,2908200,BRANCA,4,2
BA,CONCEIÇÃO DO ALMEIDA,2908309,VÁRIAS,2,1
BA,CONCEIÇÃO DO COITÉ,2908408,PARDA,3,2
BA,CONCEIÇÃO DO JACUÍPE,2908507,PARDA,7,5
BA,CONDE,2908606,VÁRIAS,3,1
BA,CONDEÚBA,2908705,VÁRIAS,2,1
BA,CONTENDAS DO SINCORÁ,2908804,PARDA,2,2
BA,CORAÇÃO DE MARIA,2908903,VÁRIAS,5,2
BA,CORDEIROS,2909000,VÁRIAS,2,1
BA,CORIBE,2909109,VÁRIAS,2,1
BA,CORONEL JOÃO SÁ,2909208,VÁRIAS,2,1
BA,CORRENTINA,2909307,PARDA,8,6
BA,COTEGIPE,2909406,BRANCA,3,2
BA,CRAVOLÂNDIA,2909505,VÁRIAS,2,1
BA,CRISÓPOLIS,2909604,VÁRIAS,2,1
BA,CRISTÓPOLIS,2909703,VÁRIAS,4,2
BA,CRUZ DAS ALMAS,2909802,BRANCA,3,2
BA,CURAÇÁ,2909901,VÁRIAS,3,1
BA,DÁRIO MEIRA,2910008,PARDA,4,3
BA,DIAS D'ÁVILA,2910057,BRANCA,7,4
BA,DOM BASÍLIO,2910107,VÁRIAS,2,1
BA,DOM MACEDO COSTA,2910206,VÁRIAS,2,1
BA,ELÍSIO MEDRADO,2910305,VÁRIAS,3,1
BA,ENCRUZILHADA,2910404,PARDA,3,2
BA,ENTRE RIOS,2910503,PRETA,6,3
BA,ÉRICO CARDOSO,2900504,VÁRIAS,2,1
BA,ESPLANADA,2910602,PARDA,3,2
BA,EUCLIDES DA CUNHA,2910701,BRANCA,3,2
BA,EUNÁPOLIS,2910727,PARDA,5,3
BA,FÁTIMA,2910750,PARDA,2,2
BA,FEIRA DA MATA,2910776,VÁRIAS,2,1
BA,FEIRA DE SANTANA,2910800,PARDA,10,5
BA,FILADÉLFIA,2910859,BRANCA,4,3
BA,FIRMINO ALVES,2910909,PARDA,4,3
BA,FLORESTA AZUL,2911006,PARDA,2,2
BA,FORMOSA DO RIO PRETO,2911105,PARDA,3,2
BA,GANDU,2911204,PARDA,3,2
BA,GAVIÃO,2911253,PARDA,3,3
BA,GENTIO DO OURO,2911303,BRANCA,2,2
BA,GLÓRIA,2911402,PARDA,3,2
BA,GONGOGI,2911501,PARDA,4,3
BA,GOVERNADOR MANGABEIRA,2911600,VÁRIAS,4,2
BA,GUAJERU,2911659,PARDA,2,2
BA,GUANAMBI,2911709,BRANCA,3,3
BA,GUARATINGA,2911808,BRANCA,5,3
BA,HELIÓPOLIS,2911857,PARDA,2,2
BA,IAÇU,2911907,VÁRIAS,4,1
BA,IBIASSUCÊ,2912004,PARDA,4,3
BA,IBICARAÍ,2912103,PARDA,5,4
BA,IBICOARA,2912202,VÁRIAS,2,1
BA,IBICUÍ,2912301,PARDA,2,2
BA,IBIPEBA,2912400,PARDA,3,2
BA,IBIPITANGA,2912509,BRANCA,2,2
BA,IBIQUERA,2912608,PARDA,2,2
BA,IBIRAPITANGA,2912707,PARDA,2,2
BA,IBIRAPUÃ,2912806,BRANCA,3,2
BA,IBIRATAIA,2912905,PARDA,4,3
BA,IBITIARA,2913002,PARDA,2,2
BA,IBITITÁ,2913101,BRANCA,2,2
BA,IBOTIRAMA,2913200,VÁRIAS,2,1
BA,ICHU,2913309,BRANCA,3,3
