codigo_ibge,candidaturas,nome_municipio,capital,sigla_uf,feminino,masculino,prop_feminino
2907400,2,CATOLÂNDIA,0,BA,0,2,0
2907509,6,CATU,0,BA,1,5,0.16666666666666666
2907558,2,CATURAMA,0,BA,0,2,0
2907608,5,CENTRAL,0,BA,0,5,0
2907707,3,CHORROCHÓ,0,BA,0,3,0
2907806,3,CÍCERO DANTAS,0,BA,0,3,0
2907905,4,CIPÓ,0,BA,1,3,0.25
2908002,5,COARACI,0,BA,1,4,0.2
2908101,2,COCOS,0,BA,0,2,0
2908200,4,CONCEIÇÃO DA FEIRA,0,BA,1,3,0.25
2908309,2,CONCEIÇÃO DO ALMEIDA,0,BA,0,2,0
2908408,3,CONCEIÇÃO DO COITÉ,0,BA,0,3,0
2908507,7,CONCEIÇÃO DO JACUÍPE,0,BA,2,5,0.2857142857142857
2908606,3,CONDE,0,BA,0,3,0
2908705,2,CONDEÚBA,0,BA,1,1,0.5
2908804,2,CONTENDAS DO SINCORÁ,0,BA,1,1,0.5
2908903,5,CORAÇÃO DE MARIA,0,BA,0,5,0
2909000,2,CORDEIROS,0,BA,0,2,0
2909109,2,CORIBE,0,BA,0,2,0
2909208,2,CORONEL JOÃO SÁ,0,BA,0,2,0
2909307,8,CORRENTINA,0,BA,0,8,0
2909406,3,COTEGIPE,0,BA,2,1,0.6666666666666666
2909505,2,CRAVOLÂNDIA,0,BA,1,1,0.5
2909604,2,CRISÓPOLIS,0,BA,0,2,0
2909703,4,CRISTÓPOLIS,0,BA,2,2,0.5
2909802,3,CRUZ DAS ALMAS,0,BA,0,3,0
2909901,3,CURAÇÁ,0,BA,0,3,0
2910008,4,DÁRIO MEIRA,0,BA,0,4,0
2910057,7,DIAS D'ÁVILA,0,BA,1,6,0.14285714285714285
2910107,2,DOM BASÍLIO,0,BA,0,2,0
2910206,2,DOM MACEDO COSTA,0,BA,0,2,0
2910305,3,ELÍSIO MEDRADO,0,BA,0,3,0
2910404,3,ENCRUZILHADA,0,BA,0,3,0
2910503,6,ENTRE RIOS,0,BA,0,6,0
2900504,2,ÉRICO CARDOSO,0,BA,0,2,0
2910602,3,ESPLANADA,0,BA,0,3,0
2910701,3,EUCLIDES DA CUNHA,0,BA,1,2,0.3333333333333333
2910727,5,EUNÁPOLIS,0,BA,2,3,0.4
2910750,2,FÁTIMA,0,BA,0,2,0
2910776,2,FEIRA DA MATA,0,BA,1,1,0.5
2910800,10,FEIRA DE SANTANA,0,BA,2,8,0.2
2910859,4,FILADÉLFIA,0,BA,0,4,0
2910909,4,FIRMINO ALVES,0,BA,2,2,0.5
2911006,2,FLORESTA AZUL,0,BA,1,1,0.5
2911105,3,FORMOSA DO RIO PRETO,0,BA,0,3,0
2911204,3,GANDU,0,BA,0,3,0
2911253,3,GAVIÃO,0,BA,0,3,0
2911303,2,GENTIO DO OURO,0,BA,0,2,0
2911402,3,GLÓRIA,0,BA,0,3,0
2911501,4,GONGOGI,0,BA,0,4,0
2911600,4,GOVERNADOR MANGABEIRA,0,BA,1,3,0.25
2911659,2,GUAJERU,0,BA,1,1,0.5
2911709,3,GUANAMBI,0,BA,1,2,0.3333333333333333
2911808,5,GUARATINGA,0,BA,1,4,0.2
2911857,2,HELIÓPOLIS,0,BA,0,2,0
2911907,4,IAÇU,0,BA,0,4,0
2912004,4,IBIASSUCÊ,0,BA,1,3,0.25
2912103,5,IBICARAÍ,0,BA,1,4,0.2
2912202,2,IBICOARA,0,BA,0,2,0
2912301,2,IBICUÍ,0,BA,0,2,0
2912400,3,IBIPEBA,0,BA,0,3,0
2912509,2,IBIPITANGA,0,BA,0,2,0
2912608,2,IBIQUERA,0,BA,0,2,0
2912707,2,IBIRAPITANGA,0,BA,0,2,0
2912806,3,IBIRAPUÃ,0,BA,0,3,0
2912905,4,IBIRATAIA,0,BA,2,2,0.5
2913002,2,IBITIARA,0,BA,0,2,0
2913101,2,IBITITÁ,0,BA,1,1,0.5
2913200,2,IBOTIRAMA,0,BA,0,2,0
2913309,3,ICHU,0,BA,0,3,0
2913408,2,IGAPORÃ,0,BA,0,2,0
2913457,4,IGRAPIÚNA,0,BA,0,4,0
2913507,3,IGUAÍ,0,BA,0,3,0
2913606,8,ILHÉUS,0,BA,1,7,0.125
2913705,3,INHAMBUPE,0,BA,0,3,0
2913804,3,IPECAETÁ,0,BA,1,2,0.3333333333333333
2913903,8,IPIAÚ,0,BA,2,6,0.25
2914000,3,IPIRÁ,0,BA,0,3,0
