sigla_uf,nome_municipio,codigo_ibge,capital,descricao_cor_raca,n,candidaturas
AL,SÃO MIGUEL DOS MILAGRES,2708709,0,PARDA,2,4
AL,SÃO SEBASTIÃO,2708808,0,BRANCA,1,4
AL,SÃO SEBASTIÃO,2708808,0,PARDA,3,4
AL,SATUBA,2708907,0,PARDA,2,2
AL,SENADOR RUI PALMEIRA,2708956,0,BRANCA,1,2
AL,SENADOR RUI PALMEIRA,2708956,0,PARDA,1,2
AL,TANQUE D'ARCA,2709004,0,BRANCA,2,5
AL,TANQUE D'ARCA,2709004,0,PARDA,3,5
AL,TAQUARANA,2709103,0,BRANCA,2,3
AL,TAQUARANA,2709103,0,PARDA,1,3
AL,TEOTÔNIO VILELA,2709152,0,PARDA,2,2
AL,TRAIPU,2709202,0,BRANCA,2,4
AL,TRAIPU,2709202,0,PARDA,2,4
AL,UNIÃO DOS PALMARES,2709301,0,BRANCA,1,8
AL,UNIÃO DOS PALMARES,2709301,0,PARDA,7,8
AL,VIÇOSA,2709400,0,BRANCA,2,3
AL,VIÇOSA,2709400,0,PARDA,1,3
AM,ALVARÃES,1300029,0,PARDA,3,3
AM,AMATURÁ,1300060,0,BRANCA,1,4
AM,AMATURÁ,1300060,0,PARDA,3,4
AM,ANAMÃ,1300086,0,PARDA,3,3
AM,ANORI,1300102,0,BRANCA,1,2
AM,ANORI,1300102,0,PARDA,1,2
AM,APUÍ,1300144,0,BRANCA,3,3
AM,ATALAIA DO NORTE,1300201,0,BRANCA,1,3
AM,ATALAIA DO NORTE,1300201,0,PARDA,1,3
AM,ATALAIA DO NORTE,1300201,0,PRETA,1,3
AM,AUTAZES,1300300,0,BRANCA,2,4
AM,AUTAZES,1300300,0,INDÍGENA,1,4
AM,AUTAZES,1300300,0,PARDA,1,4
AM,BARCELOS,1300409,0,BRANCA,2,5
AM,BARCELOS,1300409,0,INDÍGENA,1,5
AM,BARCELOS,1300409,0,PARDA,2,5
AM,BARREIRINHA,1300508,0,BRANCA,1,3
AM,BARREIRINHA,1300508,0,PARDA,2,3
AM,BENJAMIN CONSTANT,1300607,0,BRANCA,2,5
AM,BENJAMIN CONSTANT,1300607,0,PARDA,3,5
AM,BERURI,1300631,0,BRANCA,2,8
AM,BERURI,1300631,0,PARDA,6,8
AM,BOA VISTA DO RAMOS,1300680,0,BRANCA,1,2
AM,BOA VISTA DO RAMOS,1300680,0,PARDA,1,2
AM,BOCA DO ACRE,1300706,0,BRANCA,3,6
AM,BOCA DO ACRE,1300706,0,PARDA,3,6
AM,BORBA,1300805,0,PARDA,4,5
AM,BORBA,1300805,0,PRETA,1,5
AM,CAAPIRANGA,1300839,0,BRANCA,1,2
AM,CAAPIRANGA,1300839,0,PARDA,1,2
AM,CANUTAMA,1300904,0,BRANCA,1,3
AM,CANUTAMA,1300904,0,PARDA,2,3
AM,CARAUARI,1301001,0,BRANCA,1,3
AM,CARAUARI,1301001,0,PARDA,2,3
AM,CAREIRO,1301100,0,BRANCA,2,5
AM,CAREIRO,1301100,0,PARDA,3,5
AM,CAREIRO DA VÁRZEA,1301159,0,BRANCA,1,5
AM,CAREIRO DA VÁRZEA,1301159,0,PARDA,4,5
AM,COARI,1301209,0,BRANCA,1,10
AM,COARI,1301209,0,PARDA,9,10
AM,CODAJÁS,1301308,0,BRANCA,1,4
AM,CODAJÁS,1301308,0,PARDA,3,4
AM,EIRUNEPÉ,1301407,0,BRANCA,2,5
AM,EIRUNEPÉ,1301407,0,PARDA,2,5
AM,EIRUNEPÉ,1301407,0,PRETA,1,5
AM,ENVIRA,1301506,0,BRANCA,2,3
AM,ENVIRA,1301506,0,PARDA,1,3
AM,FONTE BOA,1301605,0,BRANCA,1,4
AM,FONTE BOA,1301605,0,PARDA,3,4
AM,GUAJARÁ,1301654,0,BRANCA,1,3
AM,GUAJARÁ,1301654,0,PARDA,2,3
AM,HUMAITÁ,1301704,0,BRANCA,5,6
AM,HUMAITÁ,1301704,0,PARDA,1,6
AM,IPIXUNA,1301803,0,BRANCA,1,3
AM,IPIXUNA,1301803,0,PARDA,2,3
AM,IRANDUBA,1301852,0,BRANCA,2,11
AM,IRANDUBA,1301852,0,PARDA,9,11
AM,ITACOATIARA,1301902,0,BRANCA,4,7
AM,ITACOATIARA,1301902,0,PARDA,3,7
AM,ITAMARATI,1301951,0,PARDA,2,2
AM,ITAPIRANGA,1302009,0,BRANCA,1,3
AM,ITAPIRANGA,1302009,0,PARDA,2,3
AM,JAPURÁ,1302108,0,PARDA,4,4
AM,JURUÁ,1302207,0,BRANCA,1,4
AM,JURUÁ,1302207,0,PARDA,3,4
AM,JUTAÍ,1302306,0,BRANCA,2,4
AM,JUTAÍ,1302306,0,PARDA,2,4
AM,LÁBREA,1302405,0,BRANCA,1,3
AM,LÁBREA,1302405,0,PARDA,1,3
AM,LÁBREA,1302405,0,PRETA,1,3
AM,MANACAPURU,1302504,0,PARDA,5,5
AM,MANAQUIRI,1302553,0,BRANCA,2,4
AM,MANAQUIRI,1302553,0,PARDA,2,4
AM,MANAUS,1302603,1,BRANCA,5,11
AM,MANAUS,1302603,1,PARDA,5,11
AM,MANAUS,1302603,1,PRETA,1,11
AM,MANICORÉ,1302702,0,BRANCA,1,4
AM,MANICORÉ,1302702,0,PARDA,3,4
AM,MARAÃ,1302801,0,PARDA,5,6
AM,MARAÃ,1302801,0,PRETA,1,6
AM,MAUÉS,1302900,0,BRANCA,1,3
AM,MAUÉS,1302900,0,PARDA,2,3
AM,NHAMUNDÁ,1303007,0,PARDA,4,4
AM,NOVA OLINDA DO NORTE,1303106,0,BRANCA,2,7
AM,NOVA OLINDA DO NORTE,1303106,0,PARDA,5,7
AM,NOVO AIRÃO,1303205,0,PARDA,5,5
AM,NOVO ARIPUANÃ,1303304,0,BRANCA,1,4
AM,NOVO ARIPUANÃ,1303304,0,PARDA,3,4
AM,PARINTINS,1303403,0,BRANCA,1,3
AM,PARINTINS,1303403,0,PARDA,2,3
AM,PAUINI,1303502,0,BRANCA,2,3
AM,PAUINI,1303502,0,PARDA,1,3
AM,PRESIDENTE FIGUEIREDO,1303536,0,AMARELA,1,10
AM,PRESIDENTE FIGUEIREDO,1303536,0,BRANCA,5,10
AM,PRESIDENTE FIGUEIREDO,1303536,0,PARDA,4,10
AM,RIO PRETO DA EVA,1303569,0,PARDA,2,2
AM,SANTA ISABEL DO RIO NEGRO,1303601,0,BRANCA,2,7
AM,SANTA ISABEL DO RIO NEGRO,1303601,0,INDÍGENA,2,7
AM,SANTA ISABEL DO RIO NEGRO,1303601,0,PARDA,3,7
AM,SANTO ANTÔNIO DO IÇÁ,1303700,0,BRANCA,1,4
AM,SANTO ANTÔNIO DO IÇÁ,1303700,0,PARDA,3,4
AM,SÃO GABRIEL DA CACHOEIRA,1303809,0,BRANCA,2,6
AM,SÃO GABRIEL DA CACHOEIRA,1303809,0,INDÍGENA,4,6
AM,SÃO PAULO DE OLIVENÇA,1303908,0,PARDA,3,4
AM,SÃO PAULO DE OLIVENÇA,1303908,0,PRETA,1,4
AM,SÃO SEBASTIÃO DO UATUMÃ,1303957,0,BRANCA,1,5
