sigla_uf,nome_municipio,codigo_ibge,descricao_sexo,capital,n,candidaturas
BA,CORAÇÃO DE MARIA,2908903,MASCULINO,0,5,5
BA,CORDEIROS,2909000,MASCULINO,0,2,2
BA,CORIBE,2909109,MASCULINO,0,2,2
BA,CORONEL JOÃO SÁ,2909208,MASCULINO,0,2,2
BA,CORRENTINA,2909307,MASCULINO,0,8,8
BA,COTEGIPE,2909406,FEMININO,0,2,2
BA,COTEGIPE,2909406,MASCULINO,0,1,1
BA,CRAVOLÂNDIA,2909505,FEMININO,0,1,1
BA,CRAVOLÂNDIA,2909505,MASCULINO,0,1,1
BA,CRISÓPOLIS,2909604,MASCULINO,0,2,2
BA,CRISTÓPOLIS,2909703,FEMININO,0,2,2
BA,CRISTÓPOLIS,2909703,MASCULINO,0,2,2
BA,CRUZ DAS ALMAS,2909802,MASCULINO,0,3,3
BA,CURAÇÁ,2909901,MASCULINO,0,3,3
BA,DÁRIO MEIRA,2910008,MASCULINO,0,4,4
BA,DIAS D'ÁVILA,2910057,FEMININO,0,1,1
BA,DIAS D'ÁVILA,2910057,MASCULINO,0,6,6
BA,DOM BASÍLIO,2910107,MASCULINO,0,2,2
