sigla_uf,nome_municipio,codigo_ibge,candidaturas,nao_brancos,brancos
BA,CAMAÇARI,2905701,11,0.8181818181818182,0.18181818181818177
BA,CAMAMU,2905800,2,0.5,0.5
BA,CAMPO ALEGRE DE LOURDES,2905909,3,0.6666666666666666,0.33333333333333337
BA,CAMPO FORMOSO,2906006,2,0,1
BA,CANÁPOLIS,2906105,3,0.6666666666666666,0.33333333333333337
BA,CANARANA,2906204,3,0.6666666666666666,0.33333333333333337
BA,CANAVIEIRAS,2906303,3,0.6666666666666666,0.33333333333333337
BA,CANDEAL,2906402,3,0.6666666666666666,0.33333333333333337
BA,CANDEIAS,2906501,8,1,0
BA,CANDIBA,2906600,3,0.3333333333333333,0.6666666666666667
BA,CÂNDIDO SALES,2906709,6,1,0
BA,CANSANÇÃO,2906808,4,0.5,0.5
BA,CANUDOS,2906824,4,0.75,0.25
BA,CAPELA DO ALTO ALEGRE,2906857,2,1,0
BA,CAPIM GROSSO,2906873,3,0.6666666666666666,0.33333333333333337
BA,CARAÍBAS,2906899,3,1,0
BA,CARAVELAS,2906907,4,0.5,0.5
BA,CARDEAL DA SILVA,2907004,2,0.5,0.5
BA,CARINHANHA,2907103,4,0.5,0.5
BA,CASA NOVA,2907202,5,0.6,0.4
BA,CASTRO ALVES,2907301,3,1,0
BA,CATOLÂNDIA,2907400,2,0.5,0.5
BA,CATU,2907509,6,0.3333333333333333,0.6666666666666667
BA,CATURAMA,2907558,2,0.5,0.5
BA,CENTRAL,2907608,5,1,0
BA,CHORROCHÓ,2907707,3,1,0
BA,CÍCERO DANTAS,2907806,3,0.6666666666666666,0.33333333333333337
BA,CIPÓ,2907905,4,0.5,0.5
BA,COARACI,2908002,5,0.8,0.19999999999999996
BA,COCOS,2908101,2,0,1
BA,CONCEIÇÃO DA FEIRA,2908200,4,0.5,0.5
BA,CONCEIÇÃO DO ALMEIDA,2908309,2,0.5,0.5
BA,CONCEIÇÃO DO COITÉ,2908408,3,0.6666666666666666,0.33333333333333337
BA,CONCEIÇÃO DO JACUÍPE,2908507,7,0.8571428571428571,0.1428571428571429
BA,CONDE,2908606,3,0.6666666666666666,0.33333333333333337
BA,CONDEÚBA,2908705,2,0.5,0.5
BA,CONTENDAS DO SINCORÁ,2908804,2,1,0
BA,CORAÇÃO DE MARIA,2908903,5,0.6,0.4
BA,CORDEIROS,2909000,2,0.5,0.5
BA,CORIBE,2909109,2,1,0
BA,CORONEL JOÃO SÁ,2909208,2,0.5,0.5
BA,CORRENTINA,2909307,8,1,0
BA,COTEGIPE,2909406,3,0.3333333333333333,0.6666666666666667
BA,CRAVOLÂNDIA,2909505,2,0.5,0.5
BA,CRISÓPOLIS,2909604,2,0.5,0.5
BA,CRISTÓPOLIS,2909703,4,0.5,0.5
BA,CRUZ DAS ALMAS,2909802,3,0.3333333333333333,0.6666666666666667
BA,CURAÇÁ,2909901,3,1,0
BA,DÁRIO MEIRA,2910008,4,0.75,0.25
BA,DIAS D'ÁVILA,2910057,7,0.42857142857142855,0.5714285714285714
BA,DOM BASÍLIO,2910107,2,0.5,0.5
BA,DOM MACEDO COSTA,2910206,2,0.5,0.5
BA,ELÍSIO MEDRADO,2910305,3,0.6666666666666666,0.33333333333333337
BA,ENCRUZILHADA,2910404,3,0.6666666666666666,0.33333333333333337
BA,ENTRE RIOS,2910503,6,0.6666666666666666,0.33333333333333337
BA,ÉRICO CARDOSO,2900504,2,0.5,0.5
BA,ESPLANADA,2910602,3,0.6666666666666666,0.33333333333333337
BA,EUCLIDES DA CUNHA,2910701,3,0.3333333333333333,0.6666666666666667
BA,EUNÁPOLIS,2910727,5,0.6,0.4
BA,FÁTIMA,2910750,2,1,0
BA,FEIRA DA MATA,2910776,2,0.5,0.5
BA,FEIRA DE SANTANA,2910800,10,0.6,0.4
BA,FILADÉLFIA,2910859,4,0.25,0.75
BA,FIRMINO ALVES,2910909,4,1,0
BA,FLORESTA AZUL,2911006,2,1,0
BA,FORMOSA DO RIO PRETO,2911105,3,0.6666666666666666,0.33333333333333337
BA,GANDU,2911204,3,1,0
BA,GAVIÃO,2911253,3,1,0
BA,GENTIO DO OURO,2911303,2,0,1
BA,GLÓRIA,2911402,3,0.6666666666666666,0.33333333333333337
BA,GONGOGI,2911501,4,0.75,0.25
BA,GOVERNADOR MANGABEIRA,2911600,4,1,0
BA,GUAJERU,2911659,2,1,0
BA,GUANAMBI,2911709,3,0,1
BA,GUARATINGA,2911808,5,0.4,0.6
BA,HELIÓPOLIS,2911857,2,1,0
BA,IAÇU,2911907,4,0.75,0.25
BA,IBIASSUCÊ,2912004,4,0.75,0.25
BA,IBICARAÍ,2912103,5,0.8,0.19999999999999996
BA,IBICOARA,2912202,2,0.5,0.5
BA,IBICUÍ,2912301,2,1,0
BA,IBIPEBA,2912400,3,1,0
BA,IBIPITANGA,2912509,2,0,1
BA,IBIQUERA,2912608,2,1,0
BA,IBIRAPITANGA,2912707,2,1,0
BA,IBIRAPUÃ,2912806,3,0.3333333333333333,0.6666666666666667
BA,IBIRATAIA,2912905,4,0.75,0.25
BA,IBITIARA,2913002,2,1,0
BA,IBITITÁ,2913101,2,0,1
BA,IBOTIRAMA,2913200,2,1,0
BA,ICHU,2913309,3,0,1
BA,IGAPORÃ,2913408,2,0,1
BA,IGRAPIÚNA,2913457,4,1,0
BA,IGUAÍ,2913507,3,0.6666666666666666,0.33333333333333337
BA,ILHÉUS,2913606,8,0.75,0.25
BA,INHAMBUPE,2913705,3,0.6666666666666666,0.33333333333333337
BA,IPECAETÁ,2913804,3,1,0
BA,IPIAÚ,2913903,8,0.625,0.375
BA,IPIRÁ,2914000,3,0.6666666666666666,0.33333333333333337
BA,IPUPIARA,2914109,2,1,0
BA,IRAJUBA,2914208,2,1,0
BA,IRAMAIA,2914307,3,1,0
BA,IRAQUARA,2914406,2,1,0
BA,IRARÁ,2914505,5,0.8,0.19999999999999996
BA,IRECÊ,2914604,4,0.75,0.25
BA,ITABELA,2914653,2,0.5,0.5
BA,ITABERABA,2914703,4,0.25,0.75
BA,ITABUNA,2914802,11,0.7272727272727273,0.2727272727272727
BA,ITACARÉ,2914901,5,0.8,0.19999999999999996
BA,ITAETÉ,2915007,2,0.5,0.5
BA,ITAGI,2915106,3,1,0
BA,ITAGIBÁ,2915205,6,0.5,0.5
BA,ITAGIMIRIM,2915304,3,1,0
BA,ITAGUAÇU DA BAHIA,2915353,3,1,0
BA,ITAJU DO COLÔNIA,2915403,2,0,1
BA,ITAJUÍPE,2915502,3,0.6666666666666666,0.33333333333333337
BA,ITAMARAJU,2915601,6,0.8333333333333334,0.16666666666666663
BA,ITAMARI,2915700,2,1,0
BA,ITAMBÉ,2915809,5,0.6,0.4
BA,ITANAGRA,2915908,4,0.75,0.25
BA,ITANHÉM,2916005,3,0,1
BA,ITAPARICA,2916104,3,1,0
BA,ITAPÉ,2916203,2,0.5,0.5
BA,ITAPEBI,2916302,3,0.6666666666666666,0.33333333333333337
BA,ITAPETINGA,2916401,5,1,0
BA,ITAPICURU,2916500,2,0.5,0.5
BA,ITAPITANGA,2916609,3,1,0
BA,ITAQUARA,2916708,3,1,0
BA,ITARANTIM,2916807,4,1,0
BA,ITATIM,2916856,2,0.5,0.5
BA,ITIRUÇU,2916906,2,0,1
BA,ITIÚBA,2917003,3,1,0
BA,ITORORÓ,2917102,3,1,0
BA,ITUAÇU,2917201,4,0.5,0.5
BA,ITUBERÁ,2917300,3,0.6666666666666666,0.33333333333333337
BA,IUIU,2917334,2,1,0
BA,JABORANDI,2917359,2,1,0
BA,JACARACI,2917409,2,1,0
BA,JACOBINA,2917508,3,0.6666666666666666,0.33333333333333337
BA,JAGUAQUARA,2917607,4,0.75,0.25
BA,JAGUARARI,2917706,2,0.5,0.5
BA,JAGUARIPE,2917805,2,1,0
BA,JANDAÍRA,2917904,3,0.6666666666666666,0.33333333333333337
BA,JEQUIÉ,2918001,6,0.3333333333333333,0.6666666666666667
BA,JEREMOABO,2918100,2,1,0
BA,JIQUIRIÇÁ,2918209,2,1,0
BA,JITAÚNA,2918308,2,1,0
BA,JOÃO DOURADO,2918357,2,1,0
BA,JUAZEIRO,2918407,6,0.6666666666666666,0.33333333333333337
BA,JUCURUÇU,2918456,2,1,0
BA,JUSSARA,2918506,2,0.5,0.5
BA,JUSSARI,2918555,2,0.5,0.5
BA,JUSSIAPE,2918605,3,0.3333333333333333,0.6666666666666667
BA,LAFAIETE COUTINHO,2918704,2,1,0
BA,LAGOA REAL,2918803,2,0.5,0.5
BA,LAJE,2918902,3,0.3333333333333333,0.6666666666666667
BA,LAJEDÃO,2919009,3,0.6666666666666666,0.33333333333333337
BA,LAJEDINHO,2919058,2,1,0
BA,LAJEDO DO TABOCAL,2918753,3,1,0
BA,LAMARÃO,2919108,3,1,0
BA,LAPÃO,2919157,2,1,0
BA,LAURO DE FREITAS,2919207,6,0.5,0.5
BA,LENÇÓIS,2919306,3,1,0
BA,LICÍNIO DE ALMEIDA,2919405,1,0,1
BA,LIVRAMENTO DE NOSSA SENHORA,2919504,3,0.3333333333333333,0.6666666666666667
BA,LUÍS EDUARDO MAGALHÃES,2919553,3,0,1
BA,MACAJUBA,2919603,2,0,1
BA,MACARANI,2919702,4,0.75,0.25
BA,MACAÚBAS,2919801,3,1,0
BA,MACURURÉ,2919900,3,0.6666666666666666,0.33333333333333337
BA,MADRE DE DEUS,2919926,2,0.5,0.5
BA,MAETINGA,2919959,2,0.5,0.5
BA,MAIQUINIQUE,2920007,2,0.5,0.5
BA,MAIRI,2920106,2,1,0
BA,MALHADA,2920205,2,1,0
BA,MALHADA DE PEDRAS,2920304,2,0.5,0.5
BA,MANOEL VITORINO,2920403,4,0.5,0.5
BA,MANSIDÃO,2920452,4,1,0
BA,MARACÁS,2920502,4,0.75,0.25
BA,MARAGOGIPE,2920601,6,0.8333333333333334,0.16666666666666663
BA,MARAÚ,2920700,3,0.6666666666666666,0.33333333333333337
BA,MARCIONÍLIO SOUZA,2920809,4,0.75,0.25
BA,MASCOTE,2920908,3,1,0
BA,MATA DE SÃO JOÃO,2921005,4,1,0
BA,MATINA,2921054,2,0,1
BA,MEDEIROS NETO,2921104,4,0.5,0.5
BA,MIGUEL CALMON,2921203,3,0.3333333333333333,0.6666666666666667
BA,MILAGRES,2921302,3,0.6666666666666666,0.33333333333333337
BA,MIRANGABA,2921401,5,0.8,0.19999999999999996
BA,MIRANTE,2921450,2,0,1
BA,MONTE SANTO,2921500,2,0.5,0.5
BA,MORPARÁ,2921609,2,0.5,0.5
BA,MORRO DO CHAPÉU,2921708,4,0.5,0.5
BA,MORTUGABA,2921807,2,0,1
BA,MUCUGÊ,2921906,3,1,0
BA,MUCURI,2922003,7,0.5714285714285714,0.4285714285714286
BA,MULUNGU DO MORRO,2922052,2,1,0
BA,MUNDO NOVO,2922102,2,0.5,0.5
BA,MUNIZ FERREIRA,2922201,2,1,0
BA,MUQUÉM DO SÃO FRANCISCO,2922250,2,0.5,0.5
BA,MURITIBA,2922300,4,1,0
BA,MUTUÍPE,2922409,4,0.5,0.5
BA,NAZARÉ,2922508,5,0.8,0.19999999999999996
BA,NILO PEÇANHA,2922607,3,0.6666666666666666,0.33333333333333337
BA,NORDESTINA,2922656,5,0.2,0.8
BA,NOVA CANAÃ,2922706,5,0.4,0.6
BA,NOVA FÁTIMA,2922730,2,0.5,0.5
BA,NOVA IBIÁ,2922755,2,1,0
BA,NOVA ITARANA,2922805,2,1,0
BA,NOVA REDENÇÃO,2922854,4,0.75,0.25
BA,NOVA SOURE,2922904,4,0.75,0.25
BA,NOVA VIÇOSA,2923001,5,0.4,0.6
BA,NOVO HORIZONTE,2923035,2,0.5,0.5
BA,NOVO TRIUNFO,2923050,2,0.5,0.5
